SPCD,hw_sw,fia_wood_c
10,hardwood,48.04
11,softwood,49.31666667
12,softwood,50.55153846
14,softwood,48.04
15,softwood,50.97
16,softwood,48.04
17,softwood,48.075
18,softwood,48.04
19,softwood,48.215
20,softwood,51.51857143
21,softwood,48.04
22,softwood,50.75
40,softwood,48.005
41,softwood,47.935
42,softwood,47.83
43,softwood,47.50333333
50,softwood,47.865
51,softwood,47.865
52,softwood,47.865
53,softwood,47.865
54,softwood,47.865
55,softwood,47.865
56,softwood,47.865
57,softwood,47.725
58,softwood,47.725
59,softwood,47.725
60,softwood,48.10625
61,softwood,47.725
62,softwood,47.725
63,softwood,47.62
64,softwood,47.975
65,softwood,46.92
66,softwood,47.725
67,softwood,52.14
68,softwood,52.14
69,softwood,47.725
70,softwood,47.585
71,softwood,47.585
72,softwood,47.585
73,softwood,47.6
74,softwood,48.13916929
75,softwood,47.585
81,softwood,53.75857143
90,softwood,48.04
91,softwood,47.83071154
92,softwood,48.04
93,softwood,48.145
94,softwood,51.16333333
95,softwood,47.97
96,softwood,48.04
97,softwood,48.005
98,softwood,49.95
100,softwood,47.795
101,softwood,47.795
102,softwood,47.795
103,softwood,47.935
104,softwood,47.795
105,softwood,47.9
106,softwood,47.55
107,softwood,47.69
108,softwood,50.32
109,softwood,47.795
110,softwood,47.655
111,softwood,51.337
112,softwood,50.2
113,softwood,48.005
114,softwood,47
115,softwood,47.865
116,softwood,51.85142857
117,softwood,48.11
118,softwood,49.4
119,softwood,48.04
120,softwood,47.725
121,softwood,47.41
122,softwood,51.33333333
123,softwood,47.585
124,softwood,47.9
125,softwood,53.28
126,softwood,47.655
127,softwood,47.9
128,softwood,47.515
129,softwood,50.70666667
130,softwood,47.11355062
131,softwood,47.655
132,softwood,47.725
133,softwood,47.795
134,softwood,47.795
135,softwood,47.795
136,softwood,52.8125
137,softwood,47.795
138,softwood,47.25
139,softwood,47.795
140,softwood,48.45
141,softwood,47.795
142,softwood,47.795
143,softwood,47.795
144,softwood,51.337
200,softwood,47.725
201,softwood,47.725
202,softwood,51.55958333
211,softwood,53.084
212,softwood,53.82375
220,softwood,47.83
221,softwood,47.83
222,softwood,47.83
223,softwood,45.33333333
230,softwood,47.2
231,softwood,47.2
232,softwood,47.2
240,softwood,48.25
241,softwood,50.07428571
242,softwood,50.38
250,softwood,47.865
251,softwood,47.865
252,softwood,47.865
260,softwood,47.865
261,softwood,47.97
262,softwood,47.865
263,softwood,50.7
264,softwood,47.83
299,hardwood,47.865
300,hardwood,47.48
303,hardwood,47.48
304,hardwood,45.4
310,hardwood,47.655
311,hardwood,47.655
312,hardwood,49.64
313,hardwood,48.67
